# Entities with family relationships but no external identifiers
qid,english_label,english_description,fathers,mothers,children,spouses,has_p39_no_identifiers,has_p39_no_relatives
Q64831,,,Q65654,,Q64358,,No,No
Q64834,,,Q65657,,Q64361,,No,No
Q64837,,,Q63972;Q76651,Q64870,Q65975,Q65945,No,No
Q64840,,,Q65660;Q65663,,Q64364,,No,No
Q64843,,,Q65666,,Q64370,,No,No
Q64846,,,Q64849,Q64379,,,No,No
Q64849,,,Q64978,Q65669,Q64379;Q96270,Q64846,No,No
Q64852,,,Q64382;Q64858,Q64855,,,No,No
Q64855,,,Q64382;Q64858,Q64852,,,No,No
Q64858,,,Q65672,,Q64852,Q64855,No,No
Q64861,,,Q65675,,Q64385,,No,No
Q64864,,,,,Q64397,,No,No
Q64867,,,Q94365;Q94367,Q94187,Q64397,,No,No
Q64870,,,Q63972;Q76651;Q76454,Q64837,Q66002,Q66035;Q99320,No,No
Q64871,,,Q1612;Q1613,,Q64808,,No,No
Q64873,,,Q65228,,Q64400,,No,No
Q64876,,,Q64406,Q64879,Q65678,,No,No
Q64879,,,Q64406,Q64876,,,No,No
Q64882,,,Q65684,,Q64412,,No,No
Q64885,,,,,Q64415,,No,No
Q64888,,,Q65687,,Q64418,,No,No
Q64891,,,Q65690;Q65693,,Q64424,,No,No
Q64894,,,,,Q64426,,No,No
Q64897,,,Q65696,,Q64429,,No,No
Q64900,,,Q64906;Q64909;Q64912;Q64915;Q64918;Q64921;Q64924;Q64927,Q64435,Q65699,Q65240,No,No
Q64903,,,Q64005;Q76822,,,,No,No
Q64906,,,Q65705;Q93937,Q65702,Q64435;Q107407,Q64900;Q96926;Q107409,No,No
Q64909,,,Q65708;Q94405;Q94407;Q94409;Q94411;Q94413;Q65711;Q65717;Q65720;Q65723;Q65726;Q65729;Q65732;Q65735,Q94221;Q65008,Q64435,Q64900;Q96926,No,No
Q64912,,,,,Q64435,Q64900;Q96926,No,No
Q64915,,,,,Q64435,Q64900;Q96926,No,No
Q64918,,,,,Q64435,Q64900;Q96926,No,No
Q64921,,,,,Q64435,Q64900;Q96926,No,No
Q64924,,,Q65741;Q65744,Q65738,Q64435;Q64438,Q64900;Q64930,No,No
Q64927,,,Q65753,Q65750,Q64435,Q64900;Q96926,No,No
Q64930,,,Q64924,Q64438,Q64471,,No,No
Q64933,,,Q65756;Q82768;Q65763;Q65766;Q65769;Q65772;Q65775;Q65778,,Q64444,,No,No
Q64936,,,Q64137,Q64969;Q76783,Q66068,,No,No
Q64939,,,Q64447;Q64945;Q64948;Q64951;Q64954;Q64957,Q64942,,,No,No
Q64942,,,Q64447;Q64945;Q64948;Q64951;Q64954;Q64957,Q64939,,Q65784,No,No
Q64945,,,,,Q64942,Q64939,No,No
Q64948,,,,,Q64942,Q64939,No,No
Q64951,,,,,Q64942,Q64939,No,No
Q64954,,,,,Q64942,Q64939,No,No
Q64957,,,Q65793,,Q64942,Q64939,No,No
Q64960,,,Q63867,Q64963,,,No,No
Q64963,,,Q63867,Q64960,,,No,No
Q64964,,,Q64994;Q65151,,Q64775,,No,No
Q64966,,,Q65796,,Q64456,,No,No
Q64969,,,Q64137,Q64936,Q66098,Q66131,No,No
Q64972,,,Q65799,,Q64459;Q94808,,No,No
Q64975,,,Q65802;Q94219,Q65081,Q64576,Q64465,No,No
Q64978,,,Q64468;Q64984;Q94806,Q64981,Q64849,Q65669,No,No
Q64981,,,Q64468;Q64984;Q94806,Q64978,,,No,No
Q64984,,,Q65805,Q95696,Q64978,Q64981,No,No
Q64987,,,Q65808;Q65811,,Q64471,,No,No
Q64990,,,Q65817,Q95698,Q64471;Q94808,Q95189,No,No
Q64993,,,,,Q64471;Q94808,Q95189,No,No
Q64994,,,Q1616;Q65057,,Q64964,,No,No
Q64996,,,Q65820;Q65823;Q65825,,Q64471,,No,No
Q64999,,,Q65828;Q65831;Q95706;Q65834,Q95704,Q64471;Q94808,Q95189,No,No
Q65002,,,Q64169,,Q66164,,No,No
Q65005,,,Q65008;Q65011;Q65014;Q65017;Q65020;Q65023;Q65025;Q65028;Q65031;Q65037;Q65040;Q65043;Q65046;Q65049;Q65052;Q65055;Q65058;Q65061;Q65837;Q65840;Q65843;Q65849;Q65852,Q64474;Q65696,Q65084,Q64519,No,No
Q65008,,,Q65708;Q65711;Q65717;Q65720;Q65723;Q65726;Q65729;Q65732;Q65735;Q65855;Q65858;Q65861;Q65867;Q65870;Q65702;Q65873;Q65876;Q65882;Q65885;Q65888;Q65891;Q65894;Q65897;Q65900;Q65903;Q65906;Q65750;Q65915;Q65918;Q65921;Q65924;Q65927;Q65930;Q65933;Q65936;Q65939;Q65942;Q65951;Q65954;Q65957;Q65960;Q86888;Q65963,Q64909;Q65864;Q65802;Q65909;Q65948,Q64474,Q65005,No,No
Q65011,,,Q65969;Q65972;Q65978;Q86519,Q65966;Q87870,Q64474,Q65005,No,No
Q65014,,,,,Q64474,Q65005,No,No
Q65017,,,Q65981,,Q64474,Q65005,No,No
Q65020,,,,,Q64474,Q65005,No,No
Q65023,,,,,Q64474,Q65005,No,No
Q65025,,,,,Q64474,Q65005,No,No
Q65028,,,,,Q64474,Q65005,No,No
Q65031,,,,,Q64474,Q65005,No,No
Q65034,,,Q64235,Q65067,,,No,No
Q65037,,,,,Q64474,Q65005,No,No
Q65040,,,Q65987,Q65984,Q64474;Q94425,Q65005;Q94423,No,No
Q65043,,,,,Q64474,Q65005,No,No
Q65046,,,,,Q64474,Q65005,No,No
Q65049,,,,,Q64474,Q65005,No,No
Q65052,,,,,Q64474,Q65005,No,No
Q65055,,,Q65990;Q65993,,Q64474,Q65005,No,No
Q65057,,,Q1618;Q1619,,Q64994,,No,No
Q65058,,,Q65996;Q65999;Q66005;Q66008,,Q64474,Q65005,No,No
Q65061,,,Q66011,,Q64474,Q65005,No,No
Q65064,,,,Q64474,Q65084,Q64519,No,No
Q65067,,,Q64235,Q65034,Q66227,Q66197,No,No
Q65070,,,,,Q64474;Q94425,Q94800,No,No
Q65073,,,,,Q64474;Q94425,Q94800,No,No
Q65075,,,Q65831;Q66014,,Q64501,,No,No
Q65078,,,Q66017,,Q64510,,No,No
Q65081,,,Q65802;Q94219,Q64975,Q64579,Q64519;Q94707,No,No
Q65084,,,Q65005;Q65064;Q94423,Q64519;Q94707,Q66020,Q66023,No,No
Q65087,,,Q66026,,Q64531,,No,No
Q65090,,,,,Q64531,,No,No
Q65093,,,,,Q64531,,No,No
Q65096,,,Q64268,,Q66260,Q66293,No,No
Q65099,,,,,Q64531,,No,No
Q65102,,,,,Q64531,,No,No
Q65105,,,,,Q64531,,No,No
Q65108,,,Q66029;Q66032,,Q64531,,No,No
Q65111,,,,,Q64531,,No,No
Q65114,,,,,Q64531,,No,No
Q65117,,,,,Q64531,,No,No
Q65120,,,,,Q64531,,No,No
Q65123,,,Q66038;Q66041;Q66044;Q66047;Q66050;Q66053,,Q64531,,No,No
Q65126,,,Q64301,Q65159,,,No,No
Q65129,,,,,Q64531,,No,No
Q65132,,,,,Q64531,,No,No
Q65135,,,,,Q64531,,No,No
Q65138,,,Q66056,,Q64531,,No,No
Q65141,,,,,Q64531,,No,No
Q65144,,,Q66059;Q66062,,Q64531,,No,No
Q65147,,,Q66065,,Q64531,,No,No
Q65150,,,Q66071,,Q64531,,No,No
Q65151,,,Q65185;Q65278,,Q64964,,No,No
Q65153,,,Q66074,,Q64531,,No,No
Q65156,,,Q66077;Q66080;Q66083;Q66086;Q66089,,Q64531,,No,No
Q65159,,,Q64301,Q65126,Q66357,Q66326,No,No
Q65162,,,Q66092,,Q64531,,No,No
Q65165,,,,,Q64531,,No,No
Q65168,,,Q66095,,Q64531,,No,No
Q65171,,,Q66101,,Q64531,,No,No
Q65174,,,,,Q64531,,No,No
Q65177,,,,,Q64531,,No,No
Q65180,,,,,Q64531,,No,No
Q65183,,,,,Q64531,,No,No
Q65185,,,Q1622;Q1623,,Q65151,,No,No
Q65186,,,,,Q64531,,No,No
Q65189,,,,,Q64531,,No,No
Q65192,,,Q64355;Q76514,Q65225,Q66425,Q66455,No,No
Q65195,,,Q66104,,Q64531,,No,No
Q65198,,,Q66107,,Q64531,,No,No
Q65201,,,Q66110;Q66113,,Q64531,,No,No
Q65204,,,,,Q64531;Q94579,,No,No
Q65207,,,Q66116,,Q64531;Q94579,,No,No
Q65210,,,,,Q64531,,No,No
Q65213,,,,,Q64531,,No,No
Q65216,,,,,Q64531,,No,No
Q65219,,,,,Q64531,,No,No
Q65222,,,,,Q64537,Q96258,No,No
Q65225,,,Q64355;Q76514,Q65192,Q64549,Q64582,No,No
Q65228,,,,Q64546,Q64873,,No,No
Q65231,,,Q65234;Q65237;Q65240,Q64546,,,No,No
Q65234,,,Q66119;Q66122;Q66125;Q66128;Q66134;Q66137,Q65363,Q64546,Q65231,No,No
Q65237,,,Q66140,,Q64546,Q65231,No,No
Q65240,,,Q64900,Q65699,Q64546,Q65231,No,No
Q65243,,,Q66143;Q66146,,Q64552,,No,No
Q65246,,,Q66149,,Q64552,,No,No
Q65249,,,,,Q64555,,No,No
Q65252,,,Q66152,,Q64558,,No,No
Q65255,,,Q66155,,Q64561,,No,No
Q65258,,,Q64388;Q64483;Q64549,Q65291,Q66488,,No,No
Q65261,,,Q65909,,Q64564,,No,No
Q65264,,,Q66158;Q66161,,Q64567,,No,No
Q65267,,,,,Q64570,,No,No
Q65270,,,Q66167;Q66170,,Q64570,,No,No
Q65273,,,Q66173,,Q64570,,No,No
Q65276,,,,,Q64570,Q96858,No,No
Q65278,,,Q1625;Q65341,,Q65151,,No,No
Q65279,,,,,Q64570,Q96858,No,No
Q65282,,,Q66176;Q66179;Q66182;Q66185;Q66188;Q66191;Q66194;Q66200,Q97532,Q64570,Q96858,No,No
Q65285,,,Q66203,Q97534,Q64570,Q96858,No,No
Q65288,,,Q66206,,Q64585,,No,No
Q65291,,,Q64388;Q64483;Q64549;Q76669,Q65258,Q66521,,No,No
Q65294,,,,,Q64588,,No,No
Q65297,,,Q66209,,Q64588,,No,No
Q65300,,,Q66212,,Q64591,,No,No
Q65303,,,Q66215,,Q64594,,No,No
Q65306,,,Q65309;Q65312;Q65315;Q65318;Q65321;Q65327;Q65330;Q66224,Q64600;Q65312,,,No,No
Q65309,,,Q66218;Q66221,,Q64600,Q65306,No,No
Q65312,,,Q66224,Q65306,Q64600,Q65306,No,No
Q65315,,,Q66230,,Q64600,Q65306,No,No
Q65318,,,,,Q64600,Q65306,No,No
Q65321,,,Q66236,Q66233,Q64600,Q65306,No,No
Q65324,,,Q64421,,Q66554,,No,No
Q65327,,,Q66239,,Q64600,Q65306,No,No
Q65330,,,Q66242;Q66245;Q66248;Q66251;Q66254;Q66257;Q66263;Q66266,Q66236,Q64600,Q65306,No,No
Q65333,,,Q66269,,Q64603,,No,No
Q65336,,,Q66272,,Q64606,,No,No
Q65339,,,Q66275;Q66278;Q66281,,Q64618,,No,No
Q65341,,,Q65374;Q65899,,Q65278,,No,No
Q65342,,,Q66284,,Q64621,,No,No
Q65345,,,Q66287,,Q64624,,No,No
Q65348,,,Q66290,,Q64627,,No,No
Q65351,,,Q66296,,Q64630,,No,No
Q65354,,,Q66299;Q66302,,Q64633,,No,No
Q65357,,,Q64450,Q65390,,,No,No
Q65360,,,Q65363;Q65366,Q64639,Q64645,Q65369,No,No
Q65363,,,Q66119;Q66122;Q66125;Q66128;Q66134;Q66137,Q65234,Q65360,Q64639,No,No
Q65366,,,Q66305,,Q65360,Q64639,No,No
Q65369,,,Q65360,Q64645,,,No,No
Q65372,,,Q65375,,Q64651,,No,No
Q65374,,,Q65407;Q65500,,Q65341,,No,No
Q65375,,,Q66308,,Q65372,,No,No
Q65378,,,Q66311;Q66314,,Q64654,,No,No
Q65381,,,Q66317,,Q64654,,No,No
Q65384,,,,,Q64654,,No,No
Q65387,,,,,Q64654,,No,No
Q65390,,,Q64450,Q65357,,,No,No
Q65393,,,Q66320,,Q64654,,No,No
Q65396,,,Q66323,,Q64660,,No,No
Q65399,,,,,Q64663,,No,No
Q65402,,,Q66329,,Q64678,,No,No
Q65405,,,,,Q64687,,No,No
Q65407,,,Q1629;Q1630,,Q65374,,No,No
Q65408,,,,,Q64687,,No,No
Q65411,,,,,Q64687,,No,No
Q65414,,,Q66332;Q66335;Q66338,,Q64693,,No,No
Q65417,,,,,Q64693,,No,No
Q65420,,,,,Q64693,,No,No
Q65423,,,Q64516,Q65456,Q66587,Q66620,No,No
Q65426,,,Q66341;Q66344;Q66347,,Q64696,,No,No
Q65429,,,Q66350,,Q64696,,No,No
Q65432,,,,,Q64696,,No,No
Q65435,,,,,Q64696,,No,No
Q65438,,,,,Q64696,,No,No
Q65441,,,,,Q64696,,No,No
Q65444,,,Q66351,,Q64699,,No,No
Q65447,,,Q66354,,Q64699,,No,No
Q65450,,,Q66363;Q66366,Q66360,Q64702,,No,No
Q65453,,,,,Q64708,,No,No
Q65456,,,Q64516,Q65423,Q66653,Q66685,No,No
Q65459,,,Q66370,,Q64708,,No,No
Q65462,,,Q66373,,Q64717,,No,No
Q65465,,,Q66376,,Q64720,,No,No
Q65468,,,,,Q64723,,No,No
Q65471,,,,,Q64723,,No,No
Q65474,,,,,Q64723,,No,No
Q65477,,,,,Q64723,,No,No
Q65479,,,,,Q64723,,No,No
Q65483,,,,,Q64723,,No,No
Q65486,,,,,Q64723,,No,No
Q65489,,,Q64516,,Q66751;Q66784,Q66718;Q66817,No,No
Q65492,,,,,Q64723,,No,No
Q65495,,,,,Q64723,,No,No
Q65498,,,,,Q64723,,No,No
Q65500,,,Q65533;Q65626,,Q65374,,No,No
Q65501,,,,,Q64723,,No,No
Q65504,,,,,Q64723,,No,No
Q65507,,,,,Q64723,,No,No
Q65510,,,,,Q64723,,No,No
Q65513,,,,,Q64723,,No,No
Q65516,,,,,Q64723,,No,No
Q65519,,,Q64582,Q65552,Q66850,Q66883,No,No
Q65522,,,,,Q64723,,No,No
Q65525,,,,,Q64723,,No,No
Q65528,,,,,Q64723,,No,No
Q65531,,,,,Q64723,,No,No
Q65533,,,Q1633;Q1634,,Q65500,,No,No
Q65534,,,,,Q64723,,No,No
Q65537,,,,,Q64723,,No,No
Q65540,,,,,Q64723,,No,No
Q65543,,,,,Q64723,,No,No
Q65546,,,,,Q64723,,No,No
Q65549,,,Q66379,,Q64726,,No,No
Q65552,,,Q64582,Q65519,Q66946,Q66916,No,No
Q65555,,,Q64732;Q65561;Q65564;Q65567;Q65570;Q65573;Q65576;Q65579;Q65582,Q65558,Q66385;Q66394,Q66382,No,No
Q65558,,,Q64732;Q65561;Q65564;Q65567;Q65570;Q65573;Q65576;Q65579;Q65582,Q65555,Q66400,Q66403,No,No
Q65561,,,,,Q65555,Q65558,No,No
Q65564,,,,,Q65555,Q65558,No,No
Q65567,,,,,Q65555,Q65558,No,No
Q65570,,,,,Q65555,Q65558,No,No
Q65573,,,,,Q65555,Q65558,No,No
Q65576,,,,,Q65555,Q65558,No,No
Q65579,,,,,Q65555,Q65558,No,No
Q65582,,,Q64759,,Q65555,Q65558,No,No
Q65585,,,Q64615;Q85839,Q65618,Q66991;Q67024,Q66976,No,No
Q65588,,,Q64735;Q64756,Q65591,Q65672,,No,No
Q65591,,,Q64735;Q64756,Q65588,,,No,No
Q65594,,,,,Q64759,,No,No
Q65597,,,,,Q64759,,No,No
Q65600,,,Q66406,,Q64774,,No,No
Q65603,,,Q66409;Q66412,,Q64786,,No,No
Q65606,,,,,Q64795,,No,No
Q65609,,,,,Q64795,,No,No
Q65612,,,,,Q64795,,No,No
Q65615,,,,,Q64795,,No,No
Q65618,,,Q64615;Q85839,Q65585,,,No,No
Q65621,,,Q65624;Q65627;Q65630;Q65633;Q65636,Q86975,,,No,No
Q65624,,,,,Q86975,Q65621,No,No
Q65626,,,Q1636;Q65689,,Q65500,,No,No
Q65627,,,,,Q86975,Q65621,No,No
Q65630,,,,,Q86975,Q65621,No,No
Q65633,,,Q66415,,Q86975,Q65621,No,No
Q65636,,,Q62968;Q66421;Q66428,Q66418,Q86975,Q65621,No,No
Q65639,,,Q66431,,Q64819,,No,No
Q65642,,,Q66434,,Q64825,,No,No
Q65645,,,Q66437,,Q64828,,No,No
Q65648,,,Q64648,Q65681,Q67055,Q67085,No,No
Q65651,,,,,Q87093,,No,No
Q65654,,,Q66440,,Q64831,,No,No
Q65657,,,Q66443,,Q64834,,No,No
Q65660,,,Q66446,,Q64840,,No,No
Q65663,,,Q66449,,Q64840,,No,No
Q65666,,,Q66452,,Q64843,,No,No
Q65669,,,Q64978,Q64849,,,No,No
Q65672,,,Q65588,,Q64858,,No,No
Q65675,,,Q66458,,Q64861,,No,No
Q65678,,,Q64876,,Q66461,,No,No
Q65681,,,Q64648,Q65648,Q67118,Q67151,No,No
Q65684,,,,,Q64882,,No,No
Q65687,,,Q66464,,Q64888,,No,No
Q65689,,,Q1638;Q65751,,Q65626,,No,No
Q65690,,,Q66467,,Q64891,,No,No
Q65693,,,Q66470,,Q64891,,No,No
Q65696,,,Q65843,Q65005,Q64897,,No,No
Q65699,,,Q64900,Q65240,,,No,No
Q65702,,,Q65705;Q93937,Q64906,Q65008;Q94221,Q65802;Q94219;Q107385,No,No
Q65708,,,Q66524;Q66527;Q66530;Q66533;Q66536;Q66539;Q66542;Q66545;Q66548,Q65831;Q66533;Q66119,Q94221;Q65008,Q64909,No,No
Q65711,,,,,Q65008,Q64909,No,No
Q65714,,,Q64714,Q65747,Q67217,Q67184,No,No
Q65717,,,,,Q65008,Q64909,No,No
Q65720,,,,,Q65008,Q64909,No,No
Q65723,,,,,Q65008,Q64909,No,No
Q65726,,,Q66551,,Q65008,Q64909,No,No
Q65729,,,Q66557;Q66560,,Q65008,Q64909,No,No
Q65732,,,Q66569;Q66572;Q66575;Q66578;Q66581;Q66584;Q66590;Q66593,Q66563;Q66566,Q65008,Q64909,No,No
Q65735,,,Q66596;Q66599,,Q65008,Q64909,No,No
Q65738,,,Q65741;Q65744;Q96962;Q96964,Q64924;Q96960,Q65834,,No,No
Q65741,,,Q66602;Q66605;Q66608;Q66611;Q66614;Q66617;Q66623;Q66626,,Q64924,Q65738,No,No
Q65744,,,,,Q64924,Q65738,No,No
Q65747,,,Q64714,Q65714,,,No,No
Q65750,,,Q65753,Q64927,Q65008;Q94221,Q65909;Q94219,No,No
Q65751,,,Q1640;Q65806,,Q65689,,No,No
Q65753,,,,,Q65750,Q64927,No,No
Q65756,,,,,Q64933,,No,No
Q65763,,,,,Q64933,,No,No
Q65766,,,,,Q64933,,No,No
Q65769,,,,,Q64933,,No,No
Q65772,,,,,Q64933,,No,No
Q65775,,,,,Q64933,,No,No
Q65778,,,,,Q64933,,No,No
Q65781,,,Q64747,Q65814,,,No,No
Q65784,,,Q64942;Q65787;Q65790,,Q66629,,No,No
Q65787,,,Q66632;Q66635,Q97614,,Q65784,No,No
Q65790,,,,,,Q65784,No,No
Q65793,,,Q66638,,Q64957,,No,No
Q65796,,,Q66641,,Q64966,,No,No
Q65799,,,Q66644,,Q64972,,No,No
Q65802,,,Q65702;Q65873;Q65876;Q65882;Q65885;Q65888;Q65891;Q65894;Q65897;Q65900,Q65008,Q64975,Q65081,No,No
Q65805,,,,Q96272,Q64984,Q95696,No,No
Q65806,,,Q1642;Q1643,,Q65751,,No,No
Q65808,,,Q66647;Q66650;Q66656;Q66659,Q96274,Q64987;Q95187,,No,No
Q65811,,,,,Q64987;Q95187,,No,No
Q65814,,,Q64747,Q65781,Q67283,Q67250,No,No
Q65817,,,Q66662,Q66128;Q96276,Q64990,Q95698,No,No
Q65820,,,Q66665;Q66668;Q66670,,Q64996,,No,No
Q65823,,,Q66673;Q66676;Q66679,Q96280,Q64996;Q95191,,No,No
Q65825,,,Q66682;Q66688;Q66691,Q65876;Q94223,Q64996;Q95191,,No,No
Q65828,,,Q66694,Q96282,Q64999,Q95704,No,No
Q65831,,,Q66527;Q66530;Q66533,Q65708,Q64999;Q65075,Q95704,No,No
Q65834,,,Q65738,,Q64999,Q95704,No,No
Q65837,,,,,,Q65005,No,No
Q65840,,,,,,Q65005,No,No
Q65843,,,,,Q65696,Q65005,No,No
Q65846,,,Q64780;Q76577,Q65879,Q67349,Q67316,No,No
Q65849,,,,,,Q65005,No,No
Q65852,,,,,,Q65005,No,No
Q65855,,,,,Q65008,,No,No
Q65858,,,Q66697;Q66700;Q66703,,Q65008,,No,No
Q65861,,,Q66706;Q66709;Q66712;Q66715;Q66721;Q66724;Q66727;Q66730;Q66733;Q66736,,Q65008,,No,No
Q65864,,,Q65867;Q65870;Q94227,Q65008;Q94221,Q66638,,No,No
Q65867,,,Q66739;Q66742;Q66745;Q66748;Q66754;Q66757;Q66760;Q66763;Q66766,Q66530,Q65008,Q65864,No,No
Q65870,,,,,Q65008,Q65864,No,No
Q65873,,,Q66360;Q66769;Q66772;Q66775;Q66778;Q66781;Q66787;Q66790;Q66793,Q65969,Q65008,Q65802,No,No
Q65876,,,Q66682;Q66688;Q66691;Q66796,Q65825,Q65008,Q65802,No,No
Q65879,,,Q64780;Q76577,Q65846,Q67415,Q67382,No,No
Q65882,,,Q66799;Q66802;Q66805;Q66808;Q66811;Q66814;Q66820,,Q65008,Q65802,No,No
Q65885,,,Q66823;Q66826,,Q65008,Q65802,No,No
Q65888,,,Q66829;Q66832,,Q65008,Q65802,No,No
Q65891,,,,,Q65008,Q65802,No,No
Q65894,,,,,Q65008,Q65802,No,No
Q65897,,,Q66506;Q66835,,Q65008,Q65802,No,No
Q65899,,,Q65932;Q66025,,Q65341,,No,No
Q65900,,,Q66518;Q66838;Q66841;Q66844;Q66847;Q66853,,Q65008,Q65802,No,No
Q65903,,,Q66859;Q66862;Q66865;Q66868;Q66871,Q66856,Q65008,,No,No
Q65906,,,,,Q65008,,No,No
Q65909,,,Q65750;Q65915;Q65918;Q65921;Q65924;Q65927;Q65930;Q65933;Q65936;Q65939;Q65942,Q65008,Q65261,,No,No
Q65912,,,Q64813,,Q67441,,No,No
Q65915,,,Q66874;Q66877,Q66011,Q65008,Q65909,No,No
Q65918,,,,,Q65008,Q65909,No,No
Q65921,,,Q66880,,Q65008,Q65909,No,No
Q65924,,,Q66886,,Q65008,Q65909,No,No
Q65927,,,,,Q65008,Q65909,No,No
Q65930,,,Q66889;Q66892,,Q65008,Q65909,No,No
Q65932,,,Q1646;Q1647,,Q65899,,No,No
Q65933,,,Q66895;Q66898,,Q65008,Q65909,No,No
Q65936,,,,,Q65008,Q65909,No,No
Q65939,,,,,Q65008,Q65909,No,No
Q65942,,,,,Q65008,Q65909,No,No
Q65945,,,Q64837,Q65975,Q67507,Q67540,No,No
Q65948,,,Q65951;Q65954;Q65957;Q65960;Q86888;Q94415;Q94417;Q94419,Q65008;Q94221,Q66901,,No,No
Q65951,,,,,Q65008,Q65948,No,No
Q65954,,,,,Q65008,Q65948,No,No
Q65957,,,,,Q65008,Q65948,No,No
Q65960,,,,,Q65008,Q65948,No,No
Q65963,,,,,Q65008,,No,No
Q65966,,,Q65969;Q65972;Q65978,Q65011,,,No,No
Q65969,,,Q66360;Q66769;Q66772;Q66775;Q66778;Q66781;Q66787;Q66790,Q65873,Q65011,Q65966,No,No
Q65972,,,Q66970,,Q65011,Q65966,No,No
Q65975,,,Q64837,Q65945,Q67573,Q67603,No,No
Q65978,,,Q66973,,Q65011,Q65966,No,No
Q65981,,,,,Q65017,,No,No
Q65984,,,Q65987,Q65040,Q66979,,No,No
Q65987,,,Q66982,,Q65984,Q65040,No,No
Q65990,,,Q66985,,Q65055,,No,No
Q65993,,,,,Q65055,,No,No
Q65996,,,,,Q65058;Q94445,,No,No
Q65999,,,Q66715;Q66988;Q66994;Q95197,Q95195,Q65058;Q94445,,No,No
Q66002,,,Q64870;Q76885,Q66035;Q99320,Q67507,Q67540,No,No
Q66005,,,Q66979,,Q65058;Q94445,,No,No
Q66008,,,,,Q65058,,No,No
Q66011,,,Q66874;Q66877;Q107630;Q107634;Q107632;Q107640;Q107638;Q107566;Q107636,Q65915;Q94028,Q65061;Q107578,Q108042,No,No
Q66014,,,Q66997;Q67000;Q67003;Q67006,,Q65075,,No,No
Q66017,,,Q67009,,Q65078,,No,No
Q66020,,,Q65084,Q66023,Q67012,Q67015,No,No
Q66023,,,Q65084,Q66020,,,No,No
Q66025,,,Q1649;Q66088,,Q65899,,No,No
Q66026,,,Q67018,,Q65087,,No,No
Q66029,,,,,,Q65108,No,No
Q66032,,,,,,Q65108,No,No
Q66035,,,Q64870;Q76885,Q66002,,,No,No
Q66038,,,Q67021,,,Q65123,No,No
Q66041,,,Q67027,,,Q65123,No,No
Q66044,,,,,,Q65123,No,No
Q66047,,,,,,Q65123,No,No
Q66050,,,,,,Q65123,No,No
Q66053,,,,,,Q65123,No,No
Q66056,,,Q67029,,,Q65138,No,No
Q66059,,,Q67031,,Q65144,,No,No
Q66062,,,,,Q65144,,No,No
Q66065,,,Q67034,,Q65147,,No,No
Q66068,,,Q64936,,,,No,No
Q66071,,,Q67037,,,Q65150,No,No
Q66074,,,Q67040;Q67043,,Q65153,,No,No
Q66077,,,Q67046,,Q65156,,No,No
Q66080,,,Q67049,,Q65156,,No,No
Q66083,,,,,Q65156,,No,No
Q66086,,,,,Q65156,,No,No
Q66088,,,Q66121;Q66154,,Q66025,,No,No
Q66089,,,,,Q65156,,No,No
Q66092,,,Q67052,,Q65162,,No,No
Q66095,,,Q67058,,Q65168,,No,No
Q66098,,,Q64969,Q66131,Q67669,Q67636,No,No
Q66101,,,Q67061;Q67064;Q67067;Q67070;Q67073;Q67076,,Q65171,,No,No
Q66104,,,Q67079,,,Q65195,No,No
Q66107,,,Q67082,,Q65198,,No,No
Q66110,,,,,Q65201,,No,No
Q66113,,,Q67088,,Q65201,,No,No
Q66116,,,Q67091;Q95874;Q67094,Q95872,Q65207,,No,No
Q66119,,,Q66539;Q66542;Q66545;Q66548,Q65708,Q65234,Q65363,No,No
Q66121,,,Q1653;Q1654,,Q66088,,No,No
Q66122,,,Q66473;Q66476;Q66479;Q66482;Q66485;Q66491;Q66494;Q107431;Q107425;Q67097;Q67100;Q97618;Q67103;Q97620;Q93970;Q94840;Q107435;Q107427,Q65705;Q97616;Q66203;Q93937;Q107423,Q65234;Q96264;Q107411,Q65363;Q96918;Q107413,No,No
Q66125,,,Q67106;Q67109;Q67112;Q67115;Q67121;Q67124;Q67127,Q66889,Q65234,Q65363,No,No
Q66128,,,Q66662,Q65817,Q65234,Q65363,No,No
Q66131,,,Q64969,Q66098,Q67732,Q67699,No,No
Q66134,,,,,Q65234,Q65363,No,No
Q66137,,,Q67130,Q97622,Q65234;Q96264,Q65363;Q96918,No,No
Q66140,,,Q67133,,Q65237;Q96266,Q96922,No,No
Q66143,,,,,Q65243,,No,No
Q66146,,,Q67136,,Q65243,,No,No
Q66149,,,,,Q65246;Q96266,,No,No
Q66152,,,Q67139,,Q65252,,No,No
Q66154,,,Q1655;Q66277,,Q66088,,No,No
Q66155,,,Q67142,,Q65255,,No,No
Q66158,,,Q67145;Q67148,,Q65264,,No,No
Q66161,,,Q67154,,Q65264,,No,No
Q66164,,,Q65002,,,,No,No
Q66167,,,Q67157;Q67160;Q67163;Q67166;Q67169,,Q65270,,No,No
Q66170,,,,,Q65270,,No,No
Q66173,,,Q67172,,Q65273,,No,No
Q66176,,,Q67175;Q98185;Q67178;Q67181;Q67187;Q67190;Q67193;Q67196;Q67199;Q67202,Q98187;Q98189,Q65282,Q97532,No,No
Q66179,,,Q67205;Q67208;Q67211;Q67214,Q98191,Q65282,Q97532,No,No
Q66182,,,Q67220;Q67223;Q67226,Q66673,Q65282,Q97532,No,No
Q66185,,,Q67229;Q67232;Q67235;Q67238;Q67241;Q67244,,Q65282,Q97532,No,No
