Portuguese,Indo-European,Português,pt,por,por,por,Description,Segunda," Terça"," Quarta"," Quinta"," Sexta"," Sábado"," Domingo"," Sagitário"," Capricórnio"," Aquário"," Peixes"," Áries"," Touro"," Gêmeos"," Karkino"," Leão"," Virgem"," Libra"," Escorpião"," Ophiuchus"," Hórus"," Sagitário"," Capricórnio"," Aquário "," de Peixes"," de Áries"," de Touro"," de Gêmeos"," de Karkino"," de Leão"," de Virgem"," de Libra"," de Escorpião"," de Ophiuchus"," de Hórus"," AM"," PM:",AM,-,:,:,,
Quechua,Quechuan,Runa Simi Kichwa,qu,que,que,que + 43,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Romansh,Indo-European,Rumantsch Grischun,rm,roh,roh,roh,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Rundi,Niger–Congo,Ikirundi,rn,run,run,run,also known as Kirundi,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Romanian Moldavian Moldovan,Indo-European,Română,ro,ron,rum,ron,The identifiers mo and mol are deprecated leaving ro and ron (639-2/T) and rum (639-2/B) the current language identifiers to be used for the variant of the Romanian language also known as Moldavian and Moldovan in English and moldave in French. The identifiers mo and mol will not be assigned to different items and recordings using these identifiers will not be invalid.,Luni," marți"," miercuri"," joi"," vineri"," sâmbătă"," duminică"," Săgetător"," Capricorn"," Vărsător"," Pești"," Berbec"," Taur"," Gemeni"," Karkino"," Leu"," Fecioară"," Balanță"," Scorpion"," Ophiuchus"," Horus"," din Săgetător"," din Capricorn"," din Vărsător "," din Pesti"," din Berbec"," din Taur"," din Gemeni"," din Karkino"," din Leu"," din Fecioara"," din Balanta"," din Scorpion"," din Ophiuchus"," din Horus"," AM"," PM",:,-,,,,
Russian,Indo-European,русский,ru,rus,rus,rus,Description,Понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Стрелец,Козерог,Водолей,Рыбы,Овен,Телец,Близнецы,Рак,Лев,Дева,Весы,Скорпион,Змееносец,Дажьбог,Стрельца́,Козеро́га,Водоле́я,Ры́б,Овна́,Тельца́,Близнецо́в,Ра́ка,Льва́,Де́вы,Весо́в,Скорпио́на,Змееносца,Дажбога,AM,PM,:,-,,,,
Sanskrit,Indo-European,संस्कृतम्,sa,san,san,san,ancient still spoken also known as Saṃskṛta,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Sardinian,Indo-European,sardu,sc,srd,srd,srd + 4,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Sindhi,Indo-European,सिन्धी سنڌي، سندھی‎,sd,snd,snd,snd,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Northern Sami,Uralic,Davvisámegiella,se,sme,sme,sme,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Samoan,Austronesian,gagana fa'a Samoa,sm,smo,smo,smo,Description,Aso Gafua," Aso Lua"," Aso Lulu"," Aso Tofi"," Aso Faraile"," Aso Toonaʻi"," Aso Sa"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," of Sagittarius"," of Capricorn"," of Aquarius "," of Pisces"," of Aries"," of Taurus"," of Gemini"," of Karkino"," of Leo"," of Virgo"," of Libra"," of Scorpio"," of Ophiuchus"," of Horus"," AM"," PM",:,-,PM,:,:,
Sango,Creole,yângâ tî sängö,sg,sag,sag,sag,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Serbian,Indo-European,српски језик,sr,srp,srp,srp,The ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2],Понедељак," уторак"," среда"," четвртак"," петак"," субота"," недеља"," Стрелац"," Јарац"," Водолија"," Риби"," Ован"," Бик"," Близанци"," Каркино"," Лав"," Девица"," Вага"," Шкорпион"," Опхиуцхус"," Хорус"," Стрелац"," Јарац"," Водолија "," Риба"," Ован"," Бик"," Близанци"," Каркино"," Лав"," Девица"," Вага"," Шкорпион"," Опхихус"," Хорус"," АМ"," ПМ",:,-,PM,:,:,
Gaelic Scottish Gaelic,Indo-European,Gàidhlig,gd,gla,gla,gla,Description,Diluain," Dimàirt"," Diciadain"," Diardaoin"," Dihaoine"," Disathairne"," Didòmhnaich"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," à Sagittarius"," à Capricorn"," à Aquarius "," de Pisces"," de Aries"," de Taurus"," de Gemini"," de Karkino"," de Leo"," de Virgo"," de Libra"," de Scorpio"," de Ophiuchus"," de Horus"," AM"," PM",:,-,PM,:,:,
Shona,Niger–Congo,chiShona,sn,sna,sna,sna,Description,Muvhuro," Chipiri"," Chitatu"," China"," Chishanu"," Mugovera"," Svondo"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," weSagittarius"," weCapricorn"," weAkitarius "," wePisces"," weAries"," weTaurus"," weGemini"," weKarkino"," weLeo"," weVirgo"," weRibra"," weScorpio"," weOphiuchus"," weHorus"," AM"," PM",:,-,,,,
Sinhala Sinhalese,Indo-European,සිංහල,si,sin,sin,sin,Description,සඳුදා," අඟහරුවාදා"," බදාදා"," බ්‍රහස්පතින්දා"," සිකුරාදා"," සෙනසුරාදා"," ඉරිදා"," සැජිටේරියස්"," මකර"," මින්මැදුර"," මීන"," ඒරිස්"," ටෝරස්"," මිථුන"," කර්කිනෝ"," ලියෝ"," කන්‍යා"," ලිබ්රාව"," ස්කොර්පියෝ"," ඔපියුචස්"," හෝරස්"," සැජිටේරියස්"," මකරා"," ඇක්වාරියස් "," මීන"," ඒරීස්"," ටෝරස්"," මිථුන"," කර්කිනෝ"," ලියෝ"," කන්‍යා"," ලිබ්රා"," ස්කොර්පියෝ"," ඔපියුචස්"," හෝරස්"," ඒඑම්"," පීඑම්",:,-,PM,:,:,
Slovak,Indo-European,Slovenčina Slovenský Jazyk,sk,slk,slo,slk,Description,Pondelok," utorok"," streda"," štvrtok"," piatok"," sobota"," nedeľa"," Strelec"," Kozorožec"," Vodnár"," Ryby"," Baran"," Býk"," Blíženci"," Karkino"," Lev"," Panna"," Váhy"," Škorpión"," Ophiuchus"," Horus"," Strelec"," Kozarius"," Vodnár "," z Rýb"," Aries"," z Býk"," z Gemini"," z Karkina"," z Leo"," z Panny"," z Libry"," Scorpio"," z Ophiuchu"," z Horusu"," AM"," PM",:,-,,,,
Slovenian,Indo-European,Slovenski Jezik Slovenščina,sl,slv,slv,slv,also known as Slovene,Ponedeljek," torek"," sreda"," četrtek"," petek"," sobota"," nedelja"," Strelec"," Kozorog"," Vodnar"," Ribi"," Oven"," Bik"," Dvojček"," Karkino"," Lav"," Devica"," Tehtnica"," Škorpijon"," Ophiuchus"," Horus"," Strelec"," Kozorog"," Vodnar "," Ribe"," Ovna"," Bika"," Dvojčkov"," Karkino"," Leva"," Device"," Tehtnice"," Škorpijona"," Ophiuusa"," Horusa"," AM"," PM",:,-,,,,
Somali,Afro-Asiatic,Soomaaliga af Soomaali,so,som,som,som,Description,Isniin," Talaado"," Arbaco"," Khamiis"," Jimco"," Sabti"," Axad"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," Sagittarius"," of Capricorn"," Aquarius "," ee Pisces"," Aries"," iyo Taurus"," iyo Gemini"," iyo Karkino"," iyo Leo"," iyo Virgo"," iyo Libra"," iyo Scorpio"," iyo Ophiuchus"," iyo Horus"," AM"," PM",:,-,,,,
Southern Sotho,Niger–Congo,Sesotho,st,sot,sot,sot,Description,Mantaha," Labobeli"," Laboraro"," Labone"," Labohlano"," Moqebelo"," Sontaha"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," oa Sagittarius"," oa Capricorn"," oa Aquarius "," oa Pisces"," oa Aries"," oa Taurus"," oa Gemini"," oa Karkino"," Leo"," oa Virgo"," oa Libra"," oa Scorpio"," oa Ophiuchus"," oa Horus"," AM"," PM",:,-,,,,
Spanish Castilian,Indo-European,Español,es,spa,spa,spa,Description,Lunes," martes"," miércoles"," jueves"," viernes"," sábado"," domingo"," Sagitario"," Capricornio"," Acuario"," Piscis"," Aries"," Tauro"," Géminis"," Karkino"," Leo"," Virgo"," Libra"," Escorpio"," Ofiuco"," Horus"," de Sagitario"," de Capricornio"," de Acuario. "," de Piscis"," de Aries"," de Tauro"," de Géminis"," de Karkino"," de Leo"," de Virgo"," de Libra"," de Escorpio"," de Ofiuco"," de Horus"," AM"," PM",:,-,,,,
Sundanese,Austronesian,Basa Sunda,su,sun,sun,sun,Description,Senén," Salasa"," Rebo"," Kemis"," Jumaah"," Saptu"," Minggu"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," Sagittarius"," tina Capricorn"," tina Aquarius "," ti Pisces"," of Aries"," of Taurus"," of Gemini"," of Karkino"," of Leo"," of Virgo"," of Libra"," of Scorpio"," of Ophiuchus"," of Horus"," AM"," PM",:,-,PM,:,:,
Swahili,Niger–Congo,Kiswahili,sw,swa,swa,swa + 2,macrolanguage,Jumatatu," Jumanne"," Jumatano"," Alhamisi"," Ijumaa"," Jumamosi"," Jumapili"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Mapacha"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," wa Sagittarius"," wa Capricorn"," wa Aquarius "," wa Pisces"," wa Aries"," wa Taurus"," wa Gemini"," wa Karkino"," wa Leo"," wa Virgo"," wa Libra"," wa Scorpio"," wa Ophiuchus"," wa Horus"," AM"," PM",:,-,PM,:,:,
Swati,Niger–Congo,SiSwati,ss,ssw,ssw,ssw,also known as Swazi,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Swedish,Indo-European,Svenska,sv,swe,swe,swe,Description,Måndag," tisdag"," onsdag"," torsdag"," fredag"," lördag"," söndag"," Skytten"," Stenbocken"," Vattumannen"," Fiskarna"," Väduren"," Oxen"," Tvillingarna"," Karkino"," Leo"," Jungfrun"," Vågen"," Skorpionen"," Ophiuchus"," Horus"," Skytten"," Stenbocken"," Vattumannen "," av Fiskarna"," av Väduren"," av Oxen"," av Tvillingarna"," av Karkino"," av Leo"," av Jungfru"," av Vågen"," av Skorpionen"," av Ophiuchus"," av Horus"," AM"," PM",:,-,PM,:,:,
Tamil,Dravidian,தமிழ்,ta,tam,tam,tam,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Telugu,Dravidian,తెలుగు,te,tel,tel,tel,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Tajik,Indo-European,тоҷикӣ toçikī تاجیکی‎,tg,tgk,tgk,tgk,Description,Душанбе," Сешанбе"," Чоршанбе"," Панҷшанбе"," Ҷумъа"," Шанбе"," Якшанбе"," Қавс"," Нав"," Рыбӣ"," Овен"," Таврия"," Ҷавзаҳои"," Каркино"," Лео"," Девора"," Тарона"," Скорпион"," Опийус"," Хорус"," Қафасозӣ"," Козерог"," Козӣ аз Писҳо"," Овозҳо"," Тавр"," Азизон"," Каркино"," Лео"," Девора"," Либра"," Скорпион"," Опийус"," Хорус"," Ам"," ПМ",:,AM,PM,-,:,,,
Thai,Tai–Kadai,ไทย,th,tha,tha,tha,Description,"วันจันทร์วันอังคารวันพุธวันพฤหัสบดีวันศุกร์วันเสาร์วันเสาร์ราศีธนูมังกรราศีกุมภ์ราศีมีนราศีเมษราศีพฤษภราศีเมถุนราศีเมถุน Karkino สิงห์สิงห์ราศีกันย์ราศีตุลราศีพิจิกโอฟีรุสเทพฮอรัสของชาวราศีธนูราศีกุมภ์ "," Pisces"," Aries"," Taurus"," ราศีเมถุน"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," AM"," PM",:,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,-,,,,
Tigrinya,Afro-Asiatic,ትግርኛ,ti,tir,tir,tir,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Tibetan,Sino-Tibetan,བོད་ཡིག,bo,bod,tib,bod,also known as Standard Tibetan,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Turkmen,Turkic,Türkmen Түркмен,tk,tuk,tuk,tuk,Description,Duşenbe," sişenbe"," çarşenbe"," penşenbe"," juma"," şenbe"," ýekşenbe "," Pis"," Aries"," Toros"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," AM"," PM ",:,,,,,,,,,,,,,,,,,,-,,,,
Tagalog,Austronesian,Wikang Tagalog,tl,tgl,tgl,tgl,Note: Filipino (Pilipino) has the code [fil],AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Tswana,Niger–Congo,Setswana,tn,tsn,tsn,tsn,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Tonga (Tonga Islands),Austronesian,Faka Tonga,to,ton,ton,ton,also known as Tongan,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Turkish,Turkic,Türkçe,tr,tur,tur,tur,Description,Pazartesi," Salı"," Çarşamba"," Perşembe"," Cuma"," Cumartesi"," Pazar"," Yay"," Oğlak Burcu"," Kova"," Balık"," Koç"," Boğa"," İkizler"," Karkino"," Aslan"," Başak"," Terazi"," Akrep"," Ophiuchus"," Horus"," Oğlak burcu"," Oğlak burcu"," Kova burcu Balık"," Koç"," Boğa"," İkizler"," Karkino"," Aslan"," Başak"," Terazi"," Akrep"," Ophiuchus"," Horus"," AM"," PM",:,,-,,,,
Tsonga,Niger–Congo,Xitsonga,ts,tso,tso,tso,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Tatar,Turkic,татар теле tatar tele,tt,tat,tat,tat,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Twi,Niger–Congo,Twi,tw,twi,twi,twi,Covered by macrolanguage [ak/aka],AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Tahitian,Austronesian,Reo Tahiti,ty,tah,tah,tah,One of the Reo Mā`ohi (languages of French Polynesia),AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Uighur Uyghur,Turkic,ئۇيغۇرچە‎ Uyghurche,ug,uig,uig,uig,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Ukrainian,Indo-European,Українська,uk,ukr,ukr,ukr,Description,Понеділок," вівторок"," середа"," четвер"," п'ятниця"," субота"," неділя"," Стрілець"," Козеріг"," Водолій"," Риби"," Овен"," Тельці"," Близнюки"," Каркино"," Лев"," Діва"," Терези"," Скорпіон"," Опіхус"," Хорус"," Стрілець"," Козеріг"," Водолій Риб"," Овна"," Тельця"," Близнюків"," Каркино"," Лева"," Діви"," Терезів"," Скорпіона"," Офіуха"," Гора"," AM"," PM",:,,-,,,,
Urdu,Indo-European,اردو,ur,urd,urd,urd,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Uzbek,Turkic,Oʻzbek Ўзбек أۇزبېك‎,uz,uzb,uzb,uzb + 2,macrolanguage,Dushanba," Seshanba"," Chorshanba"," Payshanba"," Juma"," Shanba"," Yakshanba"," O'qituvchi"," Kova"," Balıq"," Buzoq"," Buzoq"," Buzoq"," Gemini"," Karkino"," Leo"," Virgo"," Tangri"," Chayonlar"," Ofif"," Horus"," Sagittarius"," Kuzguli"," Kova "," Balıq"," Arie"," Toros"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ofiuchus"," Horus"," AM"," PM",:,-,,,,
Venda,Niger–Congo,Tshivenḓa,ve,ven,ven,ven,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Vietnamese,Austroasiatic,Tiếng Việt,vi,vie,vie,vie,Description,Thứ Hai," Thứ Ba"," Thứ Tư"," Thứ Năm"," Thứ Sáu"," Thứ Bảy"," Chủ Nhật"," Nhân Mã"," Ma Kết"," Bảo Bình"," Song Ngư"," Bạch Dương"," Kim Ngưu"," Song Tử"," Karkino"," Leo"," Xử Nữ"," Thiên Bình"," Bọ Cạp"," Ophiuchus"," Horus"," thuộc cung Ma Kết"," thuộc cung Ma Kết "," của Song Ngư"," của Bạch Dương"," của Kim Ngưu"," của Song Tử"," của Karkino"," của Leo"," của Xử Nữ"," của Thiên Bình"," của Bọ Cạp"," của Ophiuchus"," của Horus"," AM"," PM",:,,-,,,,
Volapük,Constructed,Volapük,vo,vol,vol,vol,constructed,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Walloon,Indo-European,Walon,wa,wln,wln,wln,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Welsh,Indo-European,Cymraeg,cy,cym,wel,cym,Description,Dydd Llun," Mawrth"," Mercher"," Iau"," Gwener"," Sadwrn"," Sul"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," o Sagittarius"," o Capricorn"," o Aquarius "," o Pisces"," o Aries"," o Taurus"," o Gemini"," o Karkino"," o Leo"," o Virgo"," o Libra"," o Scorpio"," o Ophiuchus"," o Horus"," AC"," PM",:,-,,,,
Wolof,Niger–Congo,Wollof,wo,wol,wol,wol,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Western Frisian,Indo-European,Frysk,fy,fry,fry,fry,also known as Frisian,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Xhosa,Niger–Congo,isiXhosa,xh,xho,xho,xho,Description,NgoMvulo," ulwesibini"," uLwesithathu"," uLwesine"," uLwesine"," uMgqibelo"," ngeCawa"," uSagittarius"," uCapricorn"," u-Aquarius"," uPisces"," uAries"," iTaurus"," iGemini"," iKarkino"," iLeo"," iVirgo"," iLibra"," iScorpio"," iOphiuchus"," iHorus"," yeSagittarius"," yaseCapricorn"," yeAquarius "," yePisces"," yaseAries"," yeTaurus"," yaseGemini"," yeKarkino"," yeLeo"," yeVirgo"," yaseLibra"," yeScorpio"," yeOphiuchus"," yeHorus"," ye-AM"," ye-PM",:,-,,,,
Yiddish,Indo-European,ייִדיש,yi,yid,yid,yid + 2,macrolanguage. Changed in 1989 from original ISO 639:1988 ji.[1],מאנטיק," דינסטאג"," מיטוואך"," דאנערשטאג"," פרייטאג"," שבת"," זונטיק"," סאַגיטטאַריוס"," קאַפּריקאָרן"," אַקוואַריוס"," פּיססעס"," עריז"," טאָראַס"," געמיני"," קאַרקינאָ"," לעאָ"," ווירגאָ"," ליבראַ"," סקאָרפּיאָ"," אָפיוטשוס"," האָרוס"," פון סאַגיטטאַריוס"," פון קאַפּריקאָרן"," פון אַקוואַריוס "," פון פּיססעס"," פון עריז"," פון טאָראַס"," פון געמיני"," פון קאַרקינאָ"," פון לעאָ"," פון ווירגאָ"," פון ליבראַ"," פון סקאָרפּיאָ"," פון אָפיוטשוס"," פון האָרוס"," אַ.ם."," PM",:,-,,,,
Yoruba,Niger–Congo,Yorùbá,yo,yor,yor,yor,Description,Ọjọ Mọnde," Ọjọbọ"," Ọjọru"," Ọjọbọ"," Ọjọ Jimọ"," Satide"," Ọjọru"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," ti Sagittarius"," ti Capricorn"," ti Aquarius "," ti Pisces"," ti Aries"," ti Taurus"," ti Gemini"," ti Karkino"," ti Leo"," ti Virgo"," ti Libra"," ti Scorpio"," ti Ophiuchus"," ti Horus"," AM"," PM",:,-,,,,
Zhuang Chuang,Tai–Kadai,Saɯ cueŋƅ Saw cuengh,za,zha,zha,zha + 16,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Zulu,Niger–Congo,isiZulu,zu,zul,zul,zul,Description,UMsombuluko," uLwesibili"," uLwesithathu"," uLwesine"," uLwesihlanu"," uMgqibelo"," iSonto"," uSagittarius"," uCapricorn"," u-Aquarius"," uPisces"," u-Aries"," iTaurus"," uGemini"," uKarkino"," uLeo"," uVgogo"," uLibra"," uScorpio"," u-Ophiuchus"," uHorus"," waseSagittarius"," waseCapricorn"," wase-Aquarius "," kaPisces"," ka-Aries"," kaTaurus"," kaGemini"," kaKarkino"," kaLeo"," kaVirgo"," waseLibra"," waseScorpio"," ka-Ophiuchus"," weHorus"," AM"," PM",:,-,,,,
Symbol,None,None,zz,sym,sym,sym,Description,☾,♂,☿,♃,♀,♄,☉,♐︎,♑︎,♒︎,♓︎,♈︎,♉︎,♊︎,♋︎,♌︎,♍︎,♎︎,♏︎,⛎,🕎,Sagittarii,Capricorni,Aquarii,Piscium,Arietis,Tauri,Geminorum,Karkinii,Leonis,Virginis,Librae,Scorpii,Ophiuchi,Horii,AM,PM,:,-,,,,
