"Score","ID 1","Name 1","Birth date 1","Death date 1","Relatives 1","ID 2","Name 2","Birth date 2","Death date 2","Relatives 2"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4609","Hittite Ancestors Generation 31","","","Father: Hittite Ancestors Generation 32
Children: Hittite Ancestors Generation 30"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4611","Hittite Ancestors Generation 32","","","Father: Hittite Ancestors Generation 33
Children: Hittite Ancestors Generation 31"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4612","Hittite Ancestors Generation 33","","","Father: Hittite Ancestors Generation 34
Children: Hittite Ancestors Generation 32"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4614","Hittite Ancestors Generation 34","","","Father: Hittite Ancestors Generation 35
Children: Hittite Ancestors Generation 33"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4615","Hittite Ancestors Generation 35","","","Father: Hittite Ancestors Generation 36
Children: Hittite Ancestors Generation 34"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4616","Hittite Ancestors Generation 36","","","Father: Hittite Ancestors Generation 37
Children: Hittite Ancestors Generation 35"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4617","Hittite Ancestors Generation 37","","","Father: Hittite Ancestors Generation 38
Children: Hittite Ancestors Generation 36"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4618","Hittite Ancestors Generation 38","","","Father: Hittite Ancestors Generation 39
Children: Hittite Ancestors Generation 37"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4619","Hittite Ancestors Generation 39","","","Father: Hittite Ancestors Generation 40
Children: Hittite Ancestors Generation 38"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4620","Hittite Ancestors Generation 40","","","Father: Hittite Ancestors Generation 41
Children: Hittite Ancestors Generation 39"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4621","Hittite Ancestors Generation 41","","","Father: Hittite Ancestors Generation 42
Children: Hittite Ancestors Generation 40"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4623","Hittite Ancestors Generation 42","","","Father: Hittite Ancestors Generation 43
Children: Hittite Ancestors Generation 41"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4625","Hittite Ancestors Generation 43","","","Father: Hittite Ancestors Generation 44
Children: Hittite Ancestors Generation 42"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4626","Hittite Ancestors Generation 44","","","Father: Hittite Ancestors Generation 45
Children: Hittite Ancestors Generation 43"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4627","Hittite Ancestors Generation 45","","","Father: Hittite Ancestors Generation 46
Children: Hittite Ancestors Generation 44"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4628","Hittite Ancestors Generation 46","","","Father: Hittite Ancestors Generation 47
Children: Hittite Ancestors Generation 45"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4631","Greek parallel Hittite Ancestors Generation 49","","","Father: Helleno-Armenian Parallel Hittite Ancestors Generation 50
Children: Horus parallel among Hittite Ancestors Generation 48"
"45%","4597","Hittite Ancestors Generation 21","","","Father: Hittite Ancestors Generation 22
Children: Hittite Ancestors Generation 20","4632","Helleno-Armenian Parallel Hittite Ancestors Generation 50","","","Father: South Indo Europoean Parallel Hittite Ancestors Generation 51
Children: Greek parallel Hittite Ancestors Generation 49"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4605","Hittite Ancestors Generation 27","","","Father: Hittite Ancestors Generation 28
Children: Hittite Ancestors Generation 26"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4606","Hittite Ancestors Generation 28","","","Father: Hittite Ancestors Generation 29
Children: Hittite Ancestors Generation 27"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4607","Hittite Ancestors Generation 29","","","Father: Hittite Ancestors Generation 30
Children: Hittite Ancestors Generation 28"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4608","Hittite Ancestors Generation 30","","","Father: Hittite Ancestors Generation 31
Children: Hittite Ancestors Generation 29"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4609","Hittite Ancestors Generation 31","","","Father: Hittite Ancestors Generation 32
Children: Hittite Ancestors Generation 30"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4611","Hittite Ancestors Generation 32","","","Father: Hittite Ancestors Generation 33
Children: Hittite Ancestors Generation 31"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4612","Hittite Ancestors Generation 33","","","Father: Hittite Ancestors Generation 34
Children: Hittite Ancestors Generation 32"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4614","Hittite Ancestors Generation 34","","","Father: Hittite Ancestors Generation 35
Children: Hittite Ancestors Generation 33"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4615","Hittite Ancestors Generation 35","","","Father: Hittite Ancestors Generation 36
Children: Hittite Ancestors Generation 34"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4616","Hittite Ancestors Generation 36","","","Father: Hittite Ancestors Generation 37
Children: Hittite Ancestors Generation 35"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4617","Hittite Ancestors Generation 37","","","Father: Hittite Ancestors Generation 38
Children: Hittite Ancestors Generation 36"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4618","Hittite Ancestors Generation 38","","","Father: Hittite Ancestors Generation 39
Children: Hittite Ancestors Generation 37"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4619","Hittite Ancestors Generation 39","","","Father: Hittite Ancestors Generation 40
Children: Hittite Ancestors Generation 38"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4620","Hittite Ancestors Generation 40","","","Father: Hittite Ancestors Generation 41
Children: Hittite Ancestors Generation 39"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4621","Hittite Ancestors Generation 41","","","Father: Hittite Ancestors Generation 42
Children: Hittite Ancestors Generation 40"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4623","Hittite Ancestors Generation 42","","","Father: Hittite Ancestors Generation 43
Children: Hittite Ancestors Generation 41"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4625","Hittite Ancestors Generation 43","","","Father: Hittite Ancestors Generation 44
Children: Hittite Ancestors Generation 42"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4626","Hittite Ancestors Generation 44","","","Father: Hittite Ancestors Generation 45
Children: Hittite Ancestors Generation 43"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4627","Hittite Ancestors Generation 45","","","Father: Hittite Ancestors Generation 46
Children: Hittite Ancestors Generation 44"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4628","Hittite Ancestors Generation 46","","","Father: Hittite Ancestors Generation 47
Children: Hittite Ancestors Generation 45"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4631","Greek parallel Hittite Ancestors Generation 49","","","Father: Helleno-Armenian Parallel Hittite Ancestors Generation 50
Children: Horus parallel among Hittite Ancestors Generation 48"
"45%","4599","Hittite Ancestors Generation 22","","","Father: Hittite Ancestors Generation 23
Children: Hittite Ancestors Generation 21","4632","Helleno-Armenian Parallel Hittite Ancestors Generation 50","","","Father: South Indo Europoean Parallel Hittite Ancestors Generation 51
Children: Greek parallel Hittite Ancestors Generation 49"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4605","Hittite Ancestors Generation 27","","","Father: Hittite Ancestors Generation 28
Children: Hittite Ancestors Generation 26"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4606","Hittite Ancestors Generation 28","","","Father: Hittite Ancestors Generation 29
Children: Hittite Ancestors Generation 27"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4607","Hittite Ancestors Generation 29","","","Father: Hittite Ancestors Generation 30
Children: Hittite Ancestors Generation 28"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4608","Hittite Ancestors Generation 30","","","Father: Hittite Ancestors Generation 31
Children: Hittite Ancestors Generation 29"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4609","Hittite Ancestors Generation 31","","","Father: Hittite Ancestors Generation 32
Children: Hittite Ancestors Generation 30"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4611","Hittite Ancestors Generation 32","","","Father: Hittite Ancestors Generation 33
Children: Hittite Ancestors Generation 31"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4612","Hittite Ancestors Generation 33","","","Father: Hittite Ancestors Generation 34
Children: Hittite Ancestors Generation 32"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4614","Hittite Ancestors Generation 34","","","Father: Hittite Ancestors Generation 35
Children: Hittite Ancestors Generation 33"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4615","Hittite Ancestors Generation 35","","","Father: Hittite Ancestors Generation 36
Children: Hittite Ancestors Generation 34"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4616","Hittite Ancestors Generation 36","","","Father: Hittite Ancestors Generation 37
Children: Hittite Ancestors Generation 35"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4617","Hittite Ancestors Generation 37","","","Father: Hittite Ancestors Generation 38
Children: Hittite Ancestors Generation 36"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4618","Hittite Ancestors Generation 38","","","Father: Hittite Ancestors Generation 39
Children: Hittite Ancestors Generation 37"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4619","Hittite Ancestors Generation 39","","","Father: Hittite Ancestors Generation 40
Children: Hittite Ancestors Generation 38"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4620","Hittite Ancestors Generation 40","","","Father: Hittite Ancestors Generation 41
Children: Hittite Ancestors Generation 39"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4621","Hittite Ancestors Generation 41","","","Father: Hittite Ancestors Generation 42
Children: Hittite Ancestors Generation 40"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4623","Hittite Ancestors Generation 42","","","Father: Hittite Ancestors Generation 43
Children: Hittite Ancestors Generation 41"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4625","Hittite Ancestors Generation 43","","","Father: Hittite Ancestors Generation 44
Children: Hittite Ancestors Generation 42"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4626","Hittite Ancestors Generation 44","","","Father: Hittite Ancestors Generation 45
Children: Hittite Ancestors Generation 43"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4627","Hittite Ancestors Generation 45","","","Father: Hittite Ancestors Generation 46
Children: Hittite Ancestors Generation 44"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4628","Hittite Ancestors Generation 46","","","Father: Hittite Ancestors Generation 47
Children: Hittite Ancestors Generation 45"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4631","Greek parallel Hittite Ancestors Generation 49","","","Father: Helleno-Armenian Parallel Hittite Ancestors Generation 50
Children: Horus parallel among Hittite Ancestors Generation 48"
"45%","4600","Hittite Ancestors Generation 23","","","Father: Hittite Ancestors Generation 24
Children: Hittite Ancestors Generation 22","4632","Helleno-Armenian Parallel Hittite Ancestors Generation 50","","","Father: South Indo Europoean Parallel Hittite Ancestors Generation 51
Children: Greek parallel Hittite Ancestors Generation 49"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4605","Hittite Ancestors Generation 27","","","Father: Hittite Ancestors Generation 28
Children: Hittite Ancestors Generation 26"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4606","Hittite Ancestors Generation 28","","","Father: Hittite Ancestors Generation 29
Children: Hittite Ancestors Generation 27"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4607","Hittite Ancestors Generation 29","","","Father: Hittite Ancestors Generation 30
Children: Hittite Ancestors Generation 28"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4608","Hittite Ancestors Generation 30","","","Father: Hittite Ancestors Generation 31
Children: Hittite Ancestors Generation 29"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4609","Hittite Ancestors Generation 31","","","Father: Hittite Ancestors Generation 32
Children: Hittite Ancestors Generation 30"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4611","Hittite Ancestors Generation 32","","","Father: Hittite Ancestors Generation 33
Children: Hittite Ancestors Generation 31"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4612","Hittite Ancestors Generation 33","","","Father: Hittite Ancestors Generation 34
Children: Hittite Ancestors Generation 32"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4614","Hittite Ancestors Generation 34","","","Father: Hittite Ancestors Generation 35
Children: Hittite Ancestors Generation 33"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4615","Hittite Ancestors Generation 35","","","Father: Hittite Ancestors Generation 36
Children: Hittite Ancestors Generation 34"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4616","Hittite Ancestors Generation 36","","","Father: Hittite Ancestors Generation 37
Children: Hittite Ancestors Generation 35"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4617","Hittite Ancestors Generation 37","","","Father: Hittite Ancestors Generation 38
Children: Hittite Ancestors Generation 36"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4618","Hittite Ancestors Generation 38","","","Father: Hittite Ancestors Generation 39
Children: Hittite Ancestors Generation 37"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4619","Hittite Ancestors Generation 39","","","Father: Hittite Ancestors Generation 40
Children: Hittite Ancestors Generation 38"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4620","Hittite Ancestors Generation 40","","","Father: Hittite Ancestors Generation 41
Children: Hittite Ancestors Generation 39"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4621","Hittite Ancestors Generation 41","","","Father: Hittite Ancestors Generation 42
Children: Hittite Ancestors Generation 40"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4623","Hittite Ancestors Generation 42","","","Father: Hittite Ancestors Generation 43
Children: Hittite Ancestors Generation 41"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4625","Hittite Ancestors Generation 43","","","Father: Hittite Ancestors Generation 44
Children: Hittite Ancestors Generation 42"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4626","Hittite Ancestors Generation 44","","","Father: Hittite Ancestors Generation 45
Children: Hittite Ancestors Generation 43"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4627","Hittite Ancestors Generation 45","","","Father: Hittite Ancestors Generation 46
Children: Hittite Ancestors Generation 44"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4628","Hittite Ancestors Generation 46","","","Father: Hittite Ancestors Generation 47
Children: Hittite Ancestors Generation 45"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4631","Greek parallel Hittite Ancestors Generation 49","","","Father: Helleno-Armenian Parallel Hittite Ancestors Generation 50
Children: Horus parallel among Hittite Ancestors Generation 48"
"45%","4601","Hittite Ancestors Generation 24","","","Father: Hittite Ancestors Generation 25
Children: Hittite Ancestors Generation 23","4632","Helleno-Armenian Parallel Hittite Ancestors Generation 50","","","Father: South Indo Europoean Parallel Hittite Ancestors Generation 51
Children: Greek parallel Hittite Ancestors Generation 49"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4606","Hittite Ancestors Generation 28","","","Father: Hittite Ancestors Generation 29
Children: Hittite Ancestors Generation 27"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4607","Hittite Ancestors Generation 29","","","Father: Hittite Ancestors Generation 30
Children: Hittite Ancestors Generation 28"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4608","Hittite Ancestors Generation 30","","","Father: Hittite Ancestors Generation 31
Children: Hittite Ancestors Generation 29"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4609","Hittite Ancestors Generation 31","","","Father: Hittite Ancestors Generation 32
Children: Hittite Ancestors Generation 30"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4611","Hittite Ancestors Generation 32","","","Father: Hittite Ancestors Generation 33
Children: Hittite Ancestors Generation 31"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4612","Hittite Ancestors Generation 33","","","Father: Hittite Ancestors Generation 34
Children: Hittite Ancestors Generation 32"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4614","Hittite Ancestors Generation 34","","","Father: Hittite Ancestors Generation 35
Children: Hittite Ancestors Generation 33"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4615","Hittite Ancestors Generation 35","","","Father: Hittite Ancestors Generation 36
Children: Hittite Ancestors Generation 34"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4616","Hittite Ancestors Generation 36","","","Father: Hittite Ancestors Generation 37
Children: Hittite Ancestors Generation 35"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4617","Hittite Ancestors Generation 37","","","Father: Hittite Ancestors Generation 38
Children: Hittite Ancestors Generation 36"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4618","Hittite Ancestors Generation 38","","","Father: Hittite Ancestors Generation 39
Children: Hittite Ancestors Generation 37"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4619","Hittite Ancestors Generation 39","","","Father: Hittite Ancestors Generation 40
Children: Hittite Ancestors Generation 38"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4620","Hittite Ancestors Generation 40","","","Father: Hittite Ancestors Generation 41
Children: Hittite Ancestors Generation 39"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4621","Hittite Ancestors Generation 41","","","Father: Hittite Ancestors Generation 42
Children: Hittite Ancestors Generation 40"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4623","Hittite Ancestors Generation 42","","","Father: Hittite Ancestors Generation 43
Children: Hittite Ancestors Generation 41"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4625","Hittite Ancestors Generation 43","","","Father: Hittite Ancestors Generation 44
Children: Hittite Ancestors Generation 42"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4626","Hittite Ancestors Generation 44","","","Father: Hittite Ancestors Generation 45
Children: Hittite Ancestors Generation 43"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4627","Hittite Ancestors Generation 45","","","Father: Hittite Ancestors Generation 46
Children: Hittite Ancestors Generation 44"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4628","Hittite Ancestors Generation 46","","","Father: Hittite Ancestors Generation 47
Children: Hittite Ancestors Generation 45"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4631","Greek parallel Hittite Ancestors Generation 49","","","Father: Helleno-Armenian Parallel Hittite Ancestors Generation 50
Children: Horus parallel among Hittite Ancestors Generation 48"
"45%","4603","Hittite Ancestors Generation 25","","","Father: Hittite Ancestors Generation 26
Children: Hittite Ancestors Generation 24","4632","Helleno-Armenian Parallel Hittite Ancestors Generation 50","","","Father: South Indo Europoean Parallel Hittite Ancestors Generation 51
Children: Greek parallel Hittite Ancestors Generation 49"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4607","Hittite Ancestors Generation 29","","","Father: Hittite Ancestors Generation 30
Children: Hittite Ancestors Generation 28"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4608","Hittite Ancestors Generation 30","","","Father: Hittite Ancestors Generation 31
Children: Hittite Ancestors Generation 29"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4609","Hittite Ancestors Generation 31","","","Father: Hittite Ancestors Generation 32
Children: Hittite Ancestors Generation 30"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4611","Hittite Ancestors Generation 32","","","Father: Hittite Ancestors Generation 33
Children: Hittite Ancestors Generation 31"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4612","Hittite Ancestors Generation 33","","","Father: Hittite Ancestors Generation 34
Children: Hittite Ancestors Generation 32"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4614","Hittite Ancestors Generation 34","","","Father: Hittite Ancestors Generation 35
Children: Hittite Ancestors Generation 33"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4615","Hittite Ancestors Generation 35","","","Father: Hittite Ancestors Generation 36
Children: Hittite Ancestors Generation 34"
"45%","4604","Hittite Ancestors Generation 26","","","Father: Hittite Ancestors Generation 27
Children: Hittite Ancestors Generation 25","4616","Hittite Ancestors Generation 36","","","Father: Hittite Ancestors Generation 37
Children: Hittite Ancestors Generation 35"
